,ret_1d,ret_5d,ma_gap,vol_20,dxy_chg_5d_dir,us10y_chg_5d_dir,cpi_surprise_dir,nfp_surprise_dir,fed_exp_level,fed_exp_chg,demand_chg_5d,gpr_level_z,gpr_chg_5d,ev_supply_5d,ev_geo_5d,ev_demand_5d,ev_cpi_5d,ev_jobs_5d,ev_fed_5d,ev_view_5d,inst_bias
2024-01-15,0.0,0.026631061440276937,0.0005977021627954215,0.019313374320157627,-0.12229034743860279,0.08999999999999986,1.0461052698293978,-2.446739946321542,0.5188418470917159,-0.011246773920890796,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-16,-0.003859944136299198,0.002212390282941179,-0.003936659484744531,0.019331121457009475,-0.7598611475549522,-0.05000000000000071,1.0341368245746025,-2.356294682701637,0.3293034493321097,-0.3091434080628725,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-17,0.002207506415210503,0.016536192823905616,-0.0017912092038177008,0.019063752309338024,-1.067789788696527,-0.05999999999999961,1.0225714255592646,-2.27520681694588,-0.0,-0.15742179184375193,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-18,0.020731784531042408,0.028201732117194567,0.018506733125940755,0.01940488357109741,-0.8323352094725678,-0.1599999999999997,1.0113869181077613,-2.201966712095814,-0.01769376568304547,-0.21053458314068527,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-19,-0.009085424215234283,0.009993922594719429,0.009969983386193704,0.019362350544408706,-0.9287734033831319,-0.1900000000000004,1.0005628165546827,-2.1353850575196085,-0.14307657250855008,-0.661918419600266,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-22,0.023958077267246303,0.03395199986196573,0.03305602352397141,0.020089347533930612,-0.9287734033831319,-0.1900000000000004,0.9900801459733923,-2.0745104668392575,-0.14307657250855008,-0.661918419600266,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-23,-0.010965608674727179,0.02684633532353775,0.02154285310028925,0.020232175251882877,-0.4347469104522439,-0.0699999999999994,0.9799213018702593,-2.0185715854525723,-0.09254349654618248,-0.4218469458782922,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-24,0.00963475939658398,0.03427358830491123,0.03149621174291539,0.019395522681524405,0.45323784990440874,-0.08000000000000007,0.9700699254831949,-1.9669355332692187,-0.26187602451689795,-0.26187602451689795,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-25,0.02978245703324589,0.04332426080711471,0.0591327000170736,0.019952395478079823,0.04830857932243138,-0.0,0.9605107926742705,-1.9190775007592062,-0.0378553832322378,-0.020161617549192327,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-26,0.008367172455183258,0.06077685747753225,0.06333134936434437,0.018280083446086202,0.022296969104185216,-0.0,0.9512297146990377,-1.874558125017713,-0.20903788123217648,-0.0659613087236264,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
